epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3419,0.73549,2.21694,1.23297,0.00796,1,0.98177,0.93057,0.2276,2.30103,0.51583,0.00028,0.00028,0.00028
2,79.4334,0.3645,1.44527,1.00268,0.70129,0.8,0.7216,0.44393,0.24029,2.0273,0.55897,0.000568516,0.000568516,0.000568516
3,114.72,0.34963,0.95031,0.96926,0.96311,1,0.965,0.95257,0.29074,0.54366,0.56339,0.000845152,0.000845152,0.000845152
4,150.114,0.36237,0.74684,1.00441,0.98948,1,0.995,0.89061,0.58636,1.17725,0.66106,0.00110991,0.00110991,0.00110991
5,184.401,0.35695,0.67573,0.97032,0.94517,1,0.99403,0.96222,0.50341,1.49419,0.62817,0.00136278,0.00136278,0.00136278
6,219.48,0.34283,0.6603,0.97073,0.99081,1,0.995,0.86708,0.34171,1.82928,0.5337,0.00160378,0.00160378,0.00160378
7,252.53,0.35426,0.60454,0.95698,0.99705,1,0.995,0.905,0.4105,0.72764,0.58217,0.0017624,0.0017624,0.0017624
8,280.862,0.32687,0.57692,0.944,0.99775,1,0.995,0.995,0.31907,0.69523,0.53459,0.0017228,0.0017228,0.0017228
9,308.721,0.3058,0.52682,0.93952,0.99583,1,0.995,0.995,0.35258,0.8854,0.55821,0.0016832,0.0016832,0.0016832
10,337.094,0.3161,0.50374,0.92597,0.98304,1,0.995,0.97609,0.32282,0.68894,0.55412,0.0016436,0.0016436,0.0016436
11,365.769,0.29992,0.50267,0.94219,0.94604,1,0.995,0.93467,0.41467,0.91762,0.60197,0.001604,0.001604,0.001604
12,395.068,0.29739,0.50787,0.9451,0.88206,1,0.995,0.995,0.2987,0.79254,0.54365,0.0015644,0.0015644,0.0015644
13,423.279,0.26496,0.4815,0.93125,0.99245,1,0.995,0.995,0.22828,0.74017,0.51994,0.0015248,0.0015248,0.0015248
14,451.502,0.26055,0.46946,0.929,0.99498,1,0.995,0.995,0.25545,0.94362,0.53408,0.0014852,0.0014852,0.0014852
15,479.654,0.24067,0.43974,0.91967,0.88223,1,0.995,0.995,0.34101,0.91635,0.58148,0.0014456,0.0014456,0.0014456
16,507.348,0.23874,0.4337,0.92015,0.99098,1,0.995,0.995,0.30539,0.68361,0.57338,0.001406,0.001406,0.001406
17,535.867,0.2501,0.4385,0.92409,0.99809,1,0.995,0.98259,0.35662,0.64932,0.58666,0.0013664,0.0013664,0.0013664
18,565.448,0.24677,0.41848,0.91728,0.98639,1,0.995,0.98656,0.30295,0.74475,0.56631,0.0013268,0.0013268,0.0013268
19,594.564,0.22494,0.40477,0.91689,0.98672,1,0.995,0.99201,0.23148,0.69714,0.53256,0.0012872,0.0012872,0.0012872
20,623.107,0.21761,0.39501,0.92302,0.99761,1,0.995,0.90976,0.30742,0.68737,0.57173,0.0012476,0.0012476,0.0012476
21,651.482,0.19829,0.37803,0.90125,0.99815,1,0.995,0.995,0.30867,0.45916,0.56408,0.001208,0.001208,0.001208
22,680.315,0.20092,0.36697,0.90389,0.99824,1,0.995,0.995,0.25828,0.43027,0.53959,0.0011684,0.0011684,0.0011684
23,709.892,0.19556,0.37543,0.90858,0.99816,1,0.995,0.995,0.23747,0.52044,0.54201,0.0011288,0.0011288,0.0011288
24,741.298,0.19963,0.36057,0.89349,0.99649,1,0.995,0.99201,0.29618,0.51582,0.57404,0.0010892,0.0010892,0.0010892
25,772.008,0.18648,0.35012,0.90833,0.99818,1,0.995,0.995,0.27675,0.46568,0.56337,0.0010496,0.0010496,0.0010496
26,803.325,0.18943,0.35057,0.87694,0.99831,1,0.995,0.995,0.21401,0.526,0.53966,0.00101,0.00101,0.00101
27,834.778,0.18506,0.33105,0.88479,0.99186,1,0.995,0.995,0.21682,0.66516,0.51956,0.0009704,0.0009704,0.0009704
28,863.972,0.17199,0.32544,0.88722,0.99829,1,0.995,0.995,0.24808,0.47112,0.52701,0.0009308,0.0009308,0.0009308
29,892.022,0.16821,0.31021,0.87941,0.99832,1,0.995,0.995,0.20872,0.38106,0.52416,0.0008912,0.0008912,0.0008912
30,920.172,0.164,0.31409,0.89813,0.99829,1,0.995,0.995,0.16777,0.36782,0.52286,0.0008516,0.0008516,0.0008516
31,948.453,0.16746,0.32885,0.90903,0.99833,1,0.995,0.995,0.2338,0.39479,0.53223,0.000812,0.000812,0.000812
32,976.452,0.16148,0.30246,0.89709,0.99831,1,0.995,0.995,0.23373,0.39477,0.53704,0.0007724,0.0007724,0.0007724
33,1005.27,0.15279,0.29262,0.89319,0.99834,1,0.995,0.995,0.19678,0.36676,0.53545,0.0007328,0.0007328,0.0007328
34,1033.61,0.15421,0.29118,0.87992,0.99833,1,0.995,0.995,0.17616,0.36697,0.52419,0.0006932,0.0006932,0.0006932
35,1062.38,0.13888,0.29796,0.89495,0.9983,1,0.995,0.995,0.15635,0.32274,0.51698,0.0006536,0.0006536,0.0006536
36,1091.14,0.14797,0.28922,0.88316,0.9983,1,0.995,0.995,0.13981,0.28559,0.51347,0.000614,0.000614,0.000614
37,1119.74,0.12942,0.27222,0.86701,0.99701,1,0.995,0.995,0.14391,0.32234,0.51507,0.0005744,0.0005744,0.0005744
38,1147.94,0.13998,0.28642,0.89083,0.99734,1,0.995,0.995,0.14655,0.36757,0.51587,0.0005348,0.0005348,0.0005348
39,1176.23,0.14281,0.28552,0.89677,0.99659,1,0.995,0.995,0.17121,0.36933,0.51781,0.0004952,0.0004952,0.0004952
40,1206.45,0.13484,0.27204,0.88599,0.99717,1,0.995,0.995,0.13496,0.35987,0.52066,0.0004556,0.0004556,0.0004556
41,1236.54,0.10294,0.52026,0.87606,0.99677,1,0.995,0.995,0.13753,0.33994,0.5122,0.000416,0.000416,0.000416
42,1275.4,0.0965,0.30599,0.86642,0.99807,1,0.995,0.995,0.15334,0.36828,0.50974,0.0003764,0.0003764,0.0003764
43,1309.21,0.09639,0.28467,0.84227,0.99816,1,0.995,0.995,0.13052,0.45435,0.5069,0.0003368,0.0003368,0.0003368
44,1344.11,0.0968,0.29565,0.86566,0.99782,1,0.995,0.995,0.12775,0.45859,0.49918,0.0002972,0.0002972,0.0002972
45,1378.46,0.08728,0.26108,0.87761,0.99753,1,0.995,0.995,0.13025,0.47702,0.50129,0.0002576,0.0002576,0.0002576
46,1411.76,0.0912,0.25957,0.86618,0.99746,1,0.995,0.995,0.13446,0.47963,0.50421,0.000218,0.000218,0.000218
47,1444.79,0.08805,0.24345,0.84113,0.99732,1,0.995,0.995,0.14966,0.46826,0.50844,0.0001784,0.0001784,0.0001784
48,1477.33,0.07999,0.22869,0.86156,0.99722,1,0.995,0.995,0.1476,0.43712,0.50803,0.0001388,0.0001388,0.0001388
49,1510.06,0.08175,0.23918,0.85919,0.99833,1,0.995,0.995,0.15373,0.44433,0.51207,9.92e-05,9.92e-05,9.92e-05
50,1543.18,0.07641,0.22143,0.84307,0.99833,1,0.995,0.995,0.15834,0.43419,0.5156,5.96e-05,5.96e-05,5.96e-05
