epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7184,0.80761,2.23415,1.29071,0.00672,1,0.93319,0.8037,0.35615,2.31669,0.63874,0.00028,0.00028,0.00028
2,89.2848,0.37069,1.49676,1.00408,1,0.83726,0.995,0.99191,0.20343,1.71123,0.524,0.000568516,0.000568516,0.000568516
3,131.033,0.34912,0.97733,0.96309,0.99812,1,0.995,0.99191,0.24763,0.87087,0.52487,0.000845152,0.000845152,0.000845152
4,174.816,0.3786,0.77586,1.00456,0.99589,1,0.995,0.91445,0.49456,1.20255,0.69862,0.00110991,0.00110991,0.00110991
5,218.268,0.382,0.70305,0.97287,0.8945,1,0.97894,0.80697,0.42351,1.20464,0.66841,0.00136278,0.00136278,0.00136278
6,262.519,0.3753,0.6756,0.99184,0.96242,1,0.995,0.83705,0.35654,2.53525,0.56872,0.00160378,0.00160378,0.00160378
7,306.525,0.36096,0.65321,0.97203,0.93408,1,0.995,0.96998,0.37668,1.10188,0.60483,0.0017624,0.0017624,0.0017624
8,351.109,0.34495,0.60608,0.95414,0.99731,1,0.995,0.98088,0.29367,0.55187,0.52933,0.0017228,0.0017228,0.0017228
9,393.57,0.34826,0.55379,0.96551,0.99814,1,0.995,0.995,0.29977,0.51195,0.55721,0.0016832,0.0016832,0.0016832
10,434.782,0.32687,0.51613,0.9289,0.99811,1,0.995,0.99191,0.2985,0.52046,0.59494,0.0016436,0.0016436,0.0016436
11,474.981,0.31692,0.56518,0.94888,0.99593,1,0.995,0.9504,0.3704,0.68317,0.59238,0.001604,0.001604,0.001604
12,509.144,0.32355,0.53521,0.95321,0.99696,1,0.995,0.995,0.31633,0.65286,0.56178,0.0015644,0.0015644,0.0015644
13,546.128,0.29188,0.51501,0.93386,0.99815,1,0.995,0.995,0.21806,0.53617,0.52007,0.0015248,0.0015248,0.0015248
14,584.006,0.28334,0.50249,0.93676,0.99822,1,0.995,0.97886,0.25087,0.53133,0.54061,0.0014852,0.0014852,0.0014852
15,623.964,0.26853,0.4761,0.9314,0.99667,1,0.995,0.995,0.33375,0.63208,0.59683,0.0014456,0.0014456,0.0014456
16,663.244,0.24189,0.45918,0.92014,0.99778,1,0.995,0.995,0.3526,0.56135,0.58249,0.001406,0.001406,0.001406
17,702.211,0.25536,0.4695,0.92332,0.9981,1,0.995,0.98968,0.30917,0.53175,0.56726,0.0013664,0.0013664,0.0013664
18,734.582,0.24504,0.44844,0.91334,0.99393,1,0.995,0.995,0.26106,0.58171,0.56316,0.0013268,0.0013268,0.0013268
19,765.835,0.24544,0.43506,0.92,0.99489,1,0.995,0.995,0.25233,0.65006,0.54545,0.0012872,0.0012872,0.0012872
20,796.853,0.24983,0.42235,0.93674,0.9879,1,0.995,0.995,0.24354,0.50442,0.54657,0.0012476,0.0012476,0.0012476
21,826.447,0.20975,0.39849,0.90268,0.99787,1,0.995,0.99125,0.31076,0.46565,0.59174,0.001208,0.001208,0.001208
22,855.458,0.21932,0.39542,0.90634,0.99798,1,0.995,0.995,0.33203,0.49723,0.59011,0.0011684,0.0011684,0.0011684
23,896.12,0.20832,0.37671,0.91058,0.99811,1,0.995,0.995,0.22874,0.36766,0.53856,0.0011288,0.0011288,0.0011288
24,937.698,0.21234,0.37104,0.90478,0.99818,1,0.995,0.995,0.26442,0.46406,0.54912,0.0010892,0.0010892,0.0010892
25,979.454,0.19106,0.37207,0.91786,0.99806,1,0.995,0.995,0.23593,0.47013,0.55064,0.0010496,0.0010496,0.0010496
26,1023.85,0.18882,0.36906,0.88559,0.99818,1,0.995,0.995,0.2807,0.38462,0.57734,0.00101,0.00101,0.00101
27,1063.72,0.19518,0.36175,0.89309,0.99821,1,0.995,0.995,0.19521,0.37259,0.53445,0.0009704,0.0009704,0.0009704
28,1103.58,0.1741,0.36084,0.89238,0.99822,1,0.995,0.995,0.1745,0.39578,0.52431,0.0009308,0.0009308,0.0009308
29,1143.98,0.17152,0.33134,0.8904,0.99825,1,0.995,0.995,0.19623,0.46957,0.53674,0.0008912,0.0008912,0.0008912
30,1184.27,0.17878,0.33146,0.90707,0.99827,1,0.995,0.995,0.19859,0.48984,0.54348,0.0008516,0.0008516,0.0008516
31,1224.12,0.16498,0.3446,0.90714,0.9982,1,0.995,0.995,0.18688,0.38462,0.53849,0.000812,0.000812,0.000812
32,1266.87,0.16989,0.32793,0.8971,0.99817,1,0.995,0.995,0.19509,0.36419,0.54352,0.0007724,0.0007724,0.0007724
33,1306.75,0.16435,0.32396,0.89826,0.99822,1,0.995,0.995,0.23071,0.38528,0.55401,0.0007328,0.0007328,0.0007328
34,1347.14,0.15586,0.33149,0.88323,0.99828,1,0.995,0.995,0.21188,0.37659,0.54729,0.0006932,0.0006932,0.0006932
35,1387.92,0.13942,0.31225,0.89343,0.99825,1,0.995,0.995,0.22637,0.41052,0.56233,0.0006536,0.0006536,0.0006536
36,1427.91,0.1543,0.29988,0.88627,0.99823,1,0.995,0.995,0.24974,0.38758,0.5651,0.000614,0.000614,0.000614
37,1467.94,0.14302,0.28547,0.86926,0.99823,1,0.995,0.995,0.22346,0.42471,0.55165,0.0005744,0.0005744,0.0005744
38,1507.79,0.15168,0.2867,0.89617,0.99827,1,0.995,0.995,0.24256,0.45958,0.55886,0.0005348,0.0005348,0.0005348
39,1548.22,0.14514,0.30275,0.89739,0.99831,1,0.995,0.995,0.25465,0.40135,0.55294,0.0004952,0.0004952,0.0004952
40,1588.33,0.13564,0.27957,0.88794,0.99828,1,0.995,0.995,0.19606,0.37346,0.53764,0.0004556,0.0004556,0.0004556
41,1628.11,0.11413,0.67721,0.87797,0.99831,1,0.995,0.995,0.15207,0.38731,0.52345,0.000416,0.000416,0.000416
42,1667.43,0.09731,0.3365,0.86727,0.99822,1,0.995,0.995,0.1824,0.53797,0.52365,0.0003764,0.0003764,0.0003764
43,1706.92,0.10276,0.297,0.84391,0.99827,1,0.995,0.995,0.1653,0.48054,0.51298,0.0003368,0.0003368,0.0003368
44,1746.17,0.10282,0.31727,0.86778,0.99832,1,0.995,0.995,0.14574,0.50989,0.50443,0.0002972,0.0002972,0.0002972
45,1786.05,0.09789,0.29414,0.87917,0.99833,1,0.995,0.995,0.16727,0.64483,0.50689,0.0002576,0.0002576,0.0002576
46,1827.71,0.09805,0.302,0.86945,0.99833,1,0.995,0.995,0.1934,0.60675,0.51628,0.000218,0.000218,0.000218
47,1862.29,0.09542,0.276,0.84135,0.99833,1,0.995,0.995,0.19085,0.47304,0.52982,0.0001784,0.0001784,0.0001784
48,1892.05,0.08833,0.27089,0.86366,0.99833,1,0.995,0.995,0.1865,0.5025,0.53241,0.0001388,0.0001388,0.0001388
49,1919.84,0.08658,0.26638,0.86129,0.99833,1,0.995,0.995,0.19281,0.54943,0.52802,9.92e-05,9.92e-05,9.92e-05
50,1948.32,0.07715,0.2457,0.84072,0.99833,1,0.995,0.995,0.20323,0.55825,0.52972,5.96e-05,5.96e-05,5.96e-05
